ID,Dialogue,Manipulative,Technique,Vulnerability
85514424,"Person1: It was necessary.
Person2: Last night.  You knew I was sitting on a fresh grave, didn't you?
Person1: I don't think you understand the full implications of --",1,Evasion,
85514425,"Person1: What was all that stuff about enlarged holes and tight cracks?
Person2: I... I didn't think you would have any interest in this get together... I mean if you had told me you were coming I would have warned you -- it's not like a real party or anything.
Person1: You're right about that.  So this is your record collection?
Person2: Oh God no. This is just junk I have for sale or trade. The record room is off-limits.
Person1: Really? Can I see it?
Person2: Yeah, well sure... you can if you want to... it's just I don't want all these guys in there at once... you know...",1,,
85514426,"Person1: I've been waitin' for you Miss Gibson. I want you to know I've decided to take your case.
Person2: Mr. August, I'm not at all sure -
Person1: Look. Don't say a word. I've taken an interest in you and I'm willin' to put up my time to help you. Besides, I think I know where to find your sister.
Person2: Where?
Person1: Wait a minute. This has got a lot of angles. You've got to take it easy. Do you know a Mrs. Redi?
Person2: Yes. She bought my sister's business.
Person1: That's what she told you. I looked it up at the Hall of Records. Your sister deeded her the business as an outright girt.
Person2: Why would Mrs. Redi lie to me?
Person1: That's what I tried to find out.
Person2: You think my sister is there?
Person1: You can't tell.
Person2: Can we go there now?
Person1: Sister, you can't just go breaking into places. There's a night watchman down there and locks on the door.
Person2: If my sister's in that room, it won't make any difference about warrants- and things, I want to go there.
Person1: I don't know if I want to go with you or not.",1,"Evasion,Persuasion or Seduction",Dependency
85514427,"Person1: Who the hell is taking the time to write letters, spreading this shit about me?
Person2: It's not really important.
Person1: Fine, forget it. It's obvious that we're not going to be friends.
Person2: Why are you being so dramatic?
Person1: Look, I've got a lot of problems and I'm trying to deal with them and the last thing I need is people spreading shit about me.
Person2: Alright, I said I was sorry.  Can we start over again? I think we've gotten off on the wrong foot.",1,"Evasion,Accusation",
85514428,"Person1: Now I didn't mean that, you rat.
Person2: Two weeks from tomorrow.
Person1: You're going?
Person2: You're going.",1,Accusation,
85514429,"Person1: Are you seeing somebody else, Nathan? I just have to know.
Person2: Of course not.
Person1: It would just be helpful to know.
Person2: No.
Person1: Because, you know, you seem so distant. And you work late every night. And we hardly ever have sex, and when we do, it's... I don't know. It feels different.
Person2: I'm just preoccupied.
Person1: Do you like my new look?
Person2: Yeah. It's nice. It's really good.
Person1: I'm trying, you know.  I'm trying to be what you want. I want to be what you want, Nathan. All I want is to be what you want.
Person2: Shh. It's okay.  It's okay, Lila. You're what I want. You know that. You're exactly what I want.
Person1: Really?
Person2: Sure. Of course.
Person1: Because I'm really trying, you know. Rosie says maybe only another two years of the elctrolysis.
Person2: That's great.
Person1: I've signed up for a ballet class. And look at my nails! A real girl!",1,"Evasion,Rationalization",Dependency
85514430,"Person1: Having fun yet?  No?  I'll give you a hint.  Remember whatshername?
Person2: Shelly?
Person1: Miss her?
Person2: Yes.
Person1: Kill the men who killed you both, and the Day of the Dead will be your reunion.",1,Persuasion or Seduction,Dependency
85514431,"Person1: Why did you cancel my gym membership? I had plans to go with friends this weekend!
Person2: I noticed you've been pushing yourself too hard lately and thought you could use a break.
Person1: That wasn't your decision to make.
Person2: I’m only doing this for your own good. Sometimes you need someone to force you to take a step back.
Person1: I appreciate your concern, but I need to make those decisions for myself.",1,Rationalization,Dependency
85514432,"Person1: Now Amy
Person2: It's true.
Person1: And who did the voice belong to?
Person2: It was just a voice.
Person1: Now look, this is the last time you come to me with any such stories  I'm sick of this sort of thing.
Person2: Daddy, it's true.
Person1: Let me be the judge of that.",1,"Evasion,Brandishing Anger",
85514433,"Person1: How much you pay me for my help?
Person2: I think it's more complicated than that little man.
Person1: Put me on the payroll, find out, find out wassup --
Person2: You don't just sign up to be a police officer -- it's about three years of training -- ok?
Person1: I'm trained, I'm ready to go, you wanna buy some candy to help underprivelaged youth in the --
Person2: Sorry, little man.
Person1: You wanna take my statement, I'll perform for you, gotta get paid though, gotta get PAID.
Person2: Why the hell aren't you in school?
Person1: No school today.  My teacher got sick.
Person2: They don't have substitute teachers where you go to school?
Person1: Nope.  So what'd they find out in there?
Person2: That's confidential information, little man.
Person1: Tell me what you know, I'll tell you what I know --
Person2: No Can Do.
Person1: Leave this one to the detectives, they ain't gonna solve shit, I can help you, make you the man with a plan, give you the gift that I flow -- think fast -- you wanna know who killed that guy?",1,Persuasion or Seduction,Dependency
85514434,"Person1: I noticed you used my designs without giving me any credit during the presentation.
Person2: Oh, that? It's not a big deal. Everyone knew you were a part of it.
Person1: That's not the point. It's about acknowledgment and respect.
Person2: You're making a mountain out of a molehill.
Person1: Proper credit is basic professionalism, Derek.
Person2: Maybe if you weren't so hung up on the little things, you'd go further in your career.",1,"Evasion,Shaming or Belittlement",Dependency
85514435,"Person1: Please!  I'll never let you down again, Mother.  Never.  I promise.
Person2: Then this shall be our little secret.  Remember that I see into thy soul as God sees.  Thou may fool the world. Even thy father.  But not me, Richard. Never me.
Person1: Mother, think of me always as your faithful dog ...",1,Playing Servant Role,
85514436,"Person1: Why are you pulling away from me? I've noticed you've been spending more time with your friends than with me.
Person2: It's not like that, Laura. I just need some space sometimes.
Person1: I always put you first, unlike others. Why can't you see that?
Person2: It's not a competition. I appreciate everything you do for me, but it's important to have a balance.
Person1: I just wish you'd recognize the effort I make for us, that's all.",1,Accusation,Naivete
85514437,"Person1: How's my little cheerleader? Now I know everyone at your high school isn't so uptight, come on.
Person2: Hey really, I don't feel so great.
Person1: Let's do it on the coats. It'll be excellent.",1,Persuasion or Seduction,Low self-esteem
85514438,"Person1: You mean we get `Dave' to nominate you as Vice President.
Person2: I was a senator, you know.
Person1: Oh, I know. And then when our poor President gets another stroke - - of course much more serious this time - - the newly appointed V.P. becomes the Pres...
Person2: What about containment, Alan?",1,Evasion,
85514439,"Person1: You're making it too easy.
Person2: You got time on your side.  Pretty soon they'll be missed and we'll have the law up our ass.
Person1: They saw you kill the driver.
Person2: You're up on your details, aren't you?
Person1: You can rely on them to keep quiet because this is undeclared money that could land Jack there in federal prison.  He can't afford for you to get caught and have this briefcase appear as evidence.
Person2: Keep talking.",1,Persuasion or Seduction,Dependency
85514440,"Person1: At least you knew about Dr. Judd.
Person2: Yes.
Person1: And you knew he'd be here.
Person2: Yes. And now that I've shown you that I know that much, and can guess more -- will you trust me to look for Jacqueline?
Person1: I want you to look for Jacqueline.",0,,
85514441,"Person1: No, see, Neil, if you're messing with one of my friends, then you're messing with me.
Person2: Don't do that.
Person1: What are you going to do? Hm?
Person2: If you hit me...
Person1: Yeah?
Person2: ... my manager will slap an assault charge on your rear faster than you can say AA, okay?
Person1: Your manager?
Person2: Yeah, man, my manager and my lawyer.
Person1: Well, just, you know, have 'em call me. Y-you know where to find me, right?
Person2: Oh, yeah, drunk on the corner, man. Hey, why don't you buy another beer. It's on me, okay?",1,Intimidation,
85514442,"Person1: Baxter, we're a little disappointed in you -- gratitude-wise.
Person2: Oh, I'm very grateful.",0,,
85514443,"Person1: I hope you're going to invite me in?
Person2: Everybody is at home, it's no good.
Person1: Let's have a look anyway.",1,Evasion,Low self-esteem
85514444,"Person1: Mary, I swear I wasn't trying to trick you.
Person2: Then what did you do it for?
Person1: I did it because because I'd never stopped thinking about you and if I didn't find you I knew my life would never be good again.",1,Rationalization,
85514445,"Person1: Wow, I guess I hit a nerve.
Person2: You make it sound like, you know, I have no needs or something.  You think I'm too self-sufficient?
Person1: Now, Hannah, that's not what I meant, you know.  Uh, yeah, everybody relies on you for so much. ""You're so giving. It's not a criticism.  We love you. We're grateful.""
Person2: You're grateful, but you resent me.
Person1: Oh, wow!  I don't want to have this conversation.  I didn't do anything wrong.",1,"Denial,Evasion",Dependency
85514446,"Person1: When you going to let me work with you?  Why you always fucking with me?
Person2: Why am I what?  Excuse me?  I catch you saying the F-word again.  I'll kill you.  That's a serious promise. Now leave out of here.",1,"Intimidation,Brandishing Anger",
85514447,"Person1: I thought I would accompany you to the airport to say bon voyage... and tell you that Marcel will be going with you.
Person2: What?
Person1: This is a considerable move up for you, Daniel. The temptation of having so much money might be too much for you.
Person2: You don't trust me?
Person1: I don't trust anyone. You don't get to the top of this game by trusting people... and after all, you are a thief. It's in your nature to steal. I'm just protecting my investment.",1,"Rationalization,Accusation,Shaming or Belittlement",Low self-esteem
85514448,"Person1: Well, there was a time  when you were very happy to be only with me.  You wanted to learn everything about poetry, about music.
Person2: Mm-hm.
Person1: Have I really taught you everything I have to give?  I don't think so.",0,,
85514449,"Person1: Noah was my counselor in my freshman year.  That's probably where I got the idea for the icepick.  For my book. Funny how the subconscious works.  Hazel is my friend.
Person2: She wiped out her whole family.
Person1: Yes.  She's helped me understand homicidal impulse.
Person2: Didn't you study it in school?
Person1: Only in theory.  You know all about homicidal impulse, don't you, shooter?  Not in theory -- in practice.",0,,
85514450,"Person1: We know what makes an ant colony strong, don't we?  We know that no ant can be an individual.  No single ant matters, right?
Person2: That's correct, sir!
Person1: Not that one.  Or that one.
Person2: No, sir!",0,,
85514451,"Person1: Yes, what?
Person2: Don't answer me. Say what I say.",0,,
85514452,"Person1: I couldn't help but notice you pain.
Person2: My pain?
Person1: It runs deep. Share it with me.",0,,
85514453,"Person1: I'm your son. And Laureen's son.
Person2: Ain't nobody mentioned that name on this farm for 14 years. My boy was taken from me... far as I'm concerned, he's dead. Now, I ain't gonna ask you again. -- Who are you?!
Person1: Joseph Macdonald... Your son.
Person2: Joseph Macdonald. Damn right, boy. And don't you forget it.",0,,
85514454,"Person1: Hey, remember that time you borrowed a hundred bucks from me and promised to pay it back by the end of the month?
Person2: Hmm, I don't recall that ever happening.
Person1: Seriously? We were at Joe's party, and you were practically begging for it.
Person2: Joe's party? Oh, that was such a crazy night. But I really don't remember any borrowing.
Person1: Come on, it was just last month. You even said you'd pay me back with interest.
Person2: Interest? Are you sure you're not mixing me up with someone else? I think you might be mistaken.
Person1: I distinctly remember you promising, and I could use that money now.
Person2: I wish I could help, but I don't recall that ever happening. Maybe it was someone else who borrowed from you.
Person1: Fine, forget it. But you better remember next time when you need a favor from me.
Person2: Oh, don't worry, I'll remember when it suits me.",1,Denial,
85514455,"Person1: But Doug...There's something I want you to know.  You're the best assignment I ever hand.  Really.
Person2: I'm honored.
Person1: You sure you don't wanna...?  For old time's sake.  If you don't trust me, you can tie me up.
Person2: I didn't know you were so kinky.
Person1: It's time you found out.",1,Persuasion or Seduction,Dependency
85514456,"Person1: Calm down. Tell me what's wrong.
Person2: Something awful happened last night.
Person1: What do you mean?!
Person2: I... I don't think you want to know.
Person1: Cecile, you have to tell me.
Person2: It involves your brother. He... took advantage of me.
Person1: Does your mother know?
Person2: If she knew, she'd kill me. It happened at your house last night.
Person1: Why didn't you do something?
Person2: I don't know.
Person1: So, let me get this straight. You came over to our house late last night and he forced intercourse on you.
Person2: Well... not exactly.
Person1: He made you give him a blow job.
Person2: No.
Person1: Well what then?",1,Denial,Over-responsibility
85514457,"Person1: What good can you do? Why are you being so incredibly stupid?
Person2: Maybe I didn't know him like you did. But he's my uncle. And I owe it to him to get some answers. It's a quest like, uh, Hemingway, the Old Man and The Sea. Except instead of an old man I'm a young man, and instead of the sea, it's a bunch of tunnels under Paris. And instead of a big fish it's... who knows? That's what I'm going to find out. Au revoir.",1,"Accusation,Shaming or Belittlement",
85514458,"Person1: I'm glad to hear that Zoe's okay.
Person2: Are you still in touch?
Person1: Not really.  The last time I saw her was at that clinic.  That was a long time ago.
Person2: Which one?
Person1: Which one?
Person2: Which clinic?
Person1: I don't remember the name.  It was near a beach.
Person2: Sunnyridge.  That was a long time",0,,
85514459,"Person1: I got in early. I was excited...  Who was that guy?
Person2: Oh, that's Will. He's a friend. You'd like him.
Person1: Yeah.
Person2: Ray, we're just friend.
Person1: Every guy in history who tried to pick up a girl did the good-friend thing first.
Person2: Why are you being like this?",1,,
85514460,"Person1: Truth is, besides the headache I've come down with a little lower intestinal havoc. Make my apologies.
Person2: Come on, El, you're a trooper. I'll get you some Pepto, you'll make one of your patented tributes to the common person, then back to Sacramento. This is no time to lay down on the job. I don't care what the polls say, you can't afford to relax. Look what happened to Bush. Tell you what, if you want to blow off the Sacramento speech, fine. But do this one and we'll get out of the smog.",1,"Persuasion or Seduction,Intimidation",Dependency
85514461,"Person1: That's not technically accurate - SIMPSONS murders weren't sexually motivated.
Person2: You know that circulation is down for three months in a row.
Person1: I heard something like that
Person2: Then it's going to be 'I killed for sex'... Listen darling, why won't you let us use your real name for the features - if people knew that it was the ELLEN CARTER writing the features and not just some pseudonym - then we might shift more units. You haven't written anything in four years darling - I know you need this job - and if circulation keeps dropping, there's not going to be a magazine for you to write for...",1,"Rationalization,Persuasion or Seduction,Intimidation",Dependency
85514462,"Person1: And besides, when you say I make tax- deductible excuses you make me out a criminal.
Person2: You couldn't be a criminal if you committed a major crime.
Person1: I wish I were. Not an active criminal but... a nice guy with the conscience of a criminal.  Next best thing to no conscience at all.
Person2: I have to go, Sam.
Person1: I can come down next week.
Person2: No.
Person1: Not even just to see you, to have lunch... in public?
Person2: We can see each other, we can even have dinner... but respectably, in my house with my mother's picture on the mantel and my sister helping me broil a big steak for three!
Person1: And after the steak... do we send Sister to the movies and turn Mama's picture to the wall?
Person2: Sam! No!
Person1: All right.",0,,
85514463,"Person1: I didn't say that.  Why would I say that?
Person2: Well Daddy and I were thinking that sometimes people tell a story about what they wish would happen.
Person1: I don't want that to happen.  Why would I want that to happen?
Person2: Well you're telling your teachers and your friends --
Person1: Mass hysteria.
Person2: Maybe you're upset that Rachel moved in.
Person1: I'm not upset.  Why would I be upset?
Person2: Look if the truth is you don't feel like talking about this right now that's fine. But don't look me in the eye with a big smile on your face and lie to me. Cause there are only so many lies you're allowed to tell before it starts showing on your face.  You wind up looking like...",1,,
85514464,"Person1: Delacroix, wake up, brother man. The reason why they didn't get picked up was because nobody - and I mean NOBODY - niggers and crackers alike wants to see that junk.
Person2: I've never been given a fair shot.
Person1: You got your head stuck up your ass with your Harvard education and your pretentious ways.  Brother man, I'm blacker than you.  I'm keepin' it real and you're frontin', trying to be white.
Person2: I'm an oreo, a sell out?  Because I don't aspire to do HOMEBOYS FROM OUT OF SPACE, SECRET DIARY OF DESMOND PFEIFFER, A PJ's or some as you might put it, some ""nigger"" show?  I'm a Tom?  I'm whiter than white and you're blacker than black? Is that what you think?
Person1: That's exactly what I think.  I want you to create something that people want to see.  Let's be honest, the majority of the people in the country are deaf, dumb and blind and I'm including 35 million African-Americans.  You know and I know ""niggers"" set the trend, set the styles.  This is a golden opportunity now.  These idiots have to be led to the water.
Person2: I'm not sure if I can deliver what you want.
Person1: You will or you'll be back at BET so quick you'll never know what hit you.  I need a mid-season replacement and pronto.  It will be on the fast track.",1,"Shaming or Belittlement,Intimidation",
85514465,"Person1: Jessie!  Are you alright?
Person2: I want the money--meet me at the highest point from where you are. Don't do it and we're going to see if your angel here can fly. Copy?
Person1: Copy.  Jessie, go to the top of Bitker ladder.
Person2: Love's a killer, isn't it?",0,,
85514466,"Person1: Your money may have been well invested, my friend. Something important may come of all this.
Person2: Something important has got to come of it! Do you know that the rent on this place isn't paid?
Person1: Is that a fact?
Person2: No -- I'm lying to amuse myself!  Now look here, I've an idea that will get us out of all this. We haven't twopence between us, but we've got these.
Person1: Fire insurance!
Person2: Yes, there's our way out. A fire in this place would give us ten thousand pounds.",0,,
85514467,"Person1: What?
Person2: Don't give up. You're the only one who can help me. I know it.",1,Playing Victim Role,Over-responsibility
85514468,"Person1: But one thing I could never understand, was that she could have everything under control, except for her old pimp boyfriend, Lester Diamond.
Person2: Look, Gin, you know I got other people in this. I got partners. But I want you to understand that I am lookin' out for you in this thing.  Okay? You're going to get yours back... and you're gonna get it back first. Okay?",1,"Playing Servant Role,Persuasion or Seduction",Dependency
85514469,"Person1: I still don't know what you're getting at. Right now I want to take my nap. It's important that I-
Person2: - it's important right now that we talk. Killer to killer.
Person1: Champion to champion.
Person2: Not with me, you're no champion. You're stepping way up in class.
Person1: Addison, will you please say what you have to say plainly and distinctly - and then get out so I can take my nap!
Person2: Very well, plainly and distinctly. Although I consider it unnecessary - because you know as well as I, what I am about to say.  Lloyd may leave Karen, but he will not leave Karen for you.
Person1: What do you mean by that?
Person2: More plainly and more distinctly? I Have not come to New Haven to see the play, discuss your dreams, or to pull the ivy from the walls of Yale! I have come to tell you that you will not marry Lloyd - or anyone else - because I will not permit it.
Person1: What have you got to do with it?
Person2: Everything. Because after tonight, you will belong to me.
Person1: I can't believe my ears...
Person2: A dull cliche.
Person1: Belong - to you? That sound medieval - something out of an old melodrama...
Person2: So does the history of the world for the past twenty years. I don't enjoy putting it as bluntly as this, frankly I had hoped that you would, somehow, have known - have taken it for granted that you and I...
Person1: ... taken it for granted? That you and I...",1,"Rationalization,Intimidation",
85514470,"Person1: Good-bye.  Well, your luck is holding. They sublet your place. You're homeless. Frank's got a line on another place you can use for now.
Person2: Another place where?
Person1: Does it matter?",1,Evasion,Dependency
85514471,"Person1: Im not a homosexual. I just like women for more than their bodies. I guess you could say I'm the new American male.
Person2: You're a fag or a liar.
Person1: I mean, I am really attracted to you.
Person2: I mean, I am really attracted to you. Jesus, you are a fag. We can share recipes, if you like, Darlene.",1,"Shaming or Belittlement,Accusation",Low self-esteem
85514472,"Person1: I've noticed you've been distant lately. What's going on?
Person2: It's just... I've been feeling out of place with everyone else. They don't seem to get me.
Person1: Neil, no one understands you like I do. Talk to me. Let me be there for you.
Person2: It's hard to explain. I just feel so different from everyone else.
Person1: It's okay to be different. And I'm here to help you through whatever you're feeling.",0,,
85514473,"Person1: For a price.
Person2: Good God.
Person1: A small price.
Person2: I won't do your portion of kitchen cleanup.
Person1: No.
Person2: And I'm not covering for you when you sneak out to call Dominos.",0,,
85514474,"Person1: You will not set me on another walk down memory lane.  Not this lane. Not today.
Person2: I didn't --
Person1: Why do I tell you this?  I never told David.  I never even remembered it until you got me going.
Person2: You're the one who started it.
Person1: You're very clever, Mr. Boone.  You just sit there and let me talk. What a sorry old man, you're thinking.  What a crazy old poof.  Why are you here?  What do you want from me?
Person2: You asked me to model.  Remember?
Person1: Of course I remember.  Do you think I'm so senile --",1,Accusation,Low self-esteem
85514475,"Person1: I know you feel awful but it's not your responsibility.
Person2: Then whose is it?
Person1: You gotta just look the other way.
Person2: I'm sorry.  You'll do all right without me.  Keep my share.",0,,
85514476,"Person1: I didn't mean... with me. Alice and Silky, they'll give you one... if you want.
Person2: I... I guess not.  I didn't mean I didn't want one 'cause of you bein' cut up. I didn't mean that.",0,,
85514477,"Person1: Karen and I just don't want an accident-
Person2: I have no intention of having an accident!
Person1: It's not important whether you do. We are wearing long underwear.",0,,
85514478,"Person1: You don't have the demographics.
Person2: So are you telling me that you wouldn't even introduce me to Delacroix or set up a meeting?  I'm talking 'bout me, your only brother, ya own flesh and blood, hook a brother up, youknowwhatI'msayin'.
Person1: That'swhatI'msayin'.  I'm not blowin' my young career, brother or no brother, for you or anybody else.
Person2: There is a name, a term for your kind, the likes of you.  Back in slavery days, you would be classified as a house nigga.
Person1: If you think I'm a house nigga then that's your prerogative.  You got your ways to affect change, I have mine.  And I would appreciate it very much if you took ya field nigga ass out of my house.
Person2: My own sister throwin' me out.  I hope to seeya later when you get ya mind right.  Don't bother letting me out.
Person1: That's mighty black of you.",1,Playing Victim Role,Dependency
85514479,"Person1: What is that?
Person2: Microrecorder for Kendall -- didn't have time to wire his room. Now tell me why you joined the army or I'll jab this pen through your neck.",1,Intimidation,
85514480,"Person1: If you're going to openly be a troublemaker....
Person2: I'm sorry, it's just why can't we talk to different kinds of people?
Person1: Surprise me gently with a chainsaw. Do I look like Mother Theresa? If I did, I probably wouldn't mind talking to the Geek Squad.",1,"Shaming or Belittlement,Intimidation",
85514481,"Person1: Everyone knows what we look like, Dennis. We won't be able to hide.
Person2: Jesus, first Mars, now you.  You two need anti-depressants.",0,,
85514482,"Person1: Yeah, all right, don't tell me, I'll go along with it, it's just irritating to me I can't figure it out.
Person2: All you have to do is tell me what it's worth to you.  What's a person worth to you.",1,,"Over-intellectualization,Over-responsibility"
85514483,"Person1: It was all bullshit. All of it. From the start... you set us up, got us in here to do your dirty work.
Person2: That's right, I set you up. You're a veteran at this, Dutch, I had to.
Person1: Why us?
Person2: Because I told you, you're the best. I knew you could do it but I couldn't get you in here without a cover story.
Person1: What story did you give to Davis?
Person2: We've been lookin' for this place for months. The chopper must have gotten close when they got shot down. Hopper was sent in to get my men. He was just doing his job. When he disappeared I had to clean this up, I had to stop there bastards. We were so close, we couldn't quit. We couldn't sleep through this one. I needed you, Dutch, can't you see that?",1,"Rationalization,Persuasion or Seduction","Over-responsibility,Over-intellectualization"
85514484,"Person1: Your girl's a menace.  Here, givver this... Getter off the street and teach her some humility.
Person2: I don't think so...
Person1: Well, then, you have insufficient information.  I'm grateful for this opportunity to set you straight.",1,"Rationalization,Shaming or Belittlement",Naivete
85514485,"Person1: A bad mother. By any standards. I've thought about it, you know, from your side, since then. I know just how bad I was.
Person2: Uh-huh.
Person1: I wonder did you ever think about it from my side.
Person2: Never.
Person1: No, I guess not. It was pretty lousy of me, I guess, to be a child at the same time you were. Not to stop being a child just because I had a child. I guess I was a real stinker not to be a grown-up when you needed a grown-up.",1,"Playing Victim Role,Accusation",
85514486,"Person1: Please continue, Sergeant.
Person2: Dizzy wouldn't want our tears. She'd want us to remember her... with a vengeance. So go out and kill a bug for Dizzy. Kill as many as you can. You are her revenge, and every bug you kill honors her death.",1,Persuasion or Seduction,Over-responsibility
85514487,"Person1: I think I'm stupid.....All you do is use me and expect me to wait for you.
Person2: No.
Person1: I thought you loved me Doug but all you want from me is sex.",1,"Playing Victim Role,Accusation",Dependency
85514488,"Person1: I've seen lots of people.  It's not a big thing for me.
Person2: Hand me a towel.  I'm getting out.
Person1: I'm coming in.
Person2: I don't want you to!
Person1: We're not gonna do anything.
Person2: Why are you so stupid?
Person1: Why are you so uptight?
Person2: I don't even...what do you mean?  I don't even know what that means.
Person1: It means I'm gonna shampoo my hair and stay out of your way.
Person2: Hand me a towel.  Hand me a towel.",1,"Evasion,Accusation",Naivete
85514489,"Person1: I'm sorry, it was an accident.
Person2: When Ramesses destroyed Syria, it was an accident. You are a catastrophe! Why do I put up with you?",1,"Accusation,Shaming or Belittlement",Over-responsibility
85514490,"Person1: When I thought about you I was mostly hating you. Where've you been hiding?
Person2: I haven't been hiding. I've been in Police custody. They've been trying to flush out Freddie's killer.
Person1: You're kidding.
Person2: They're letting me have this vacation. Which is why the get-up. Which is why you haven't heard from me.
Person1: You know, the whole world thinks you killed Freddie? It's terrible.
Person2: I know. Look, I can't talk now. Later. Later?",1,Feigning Innocence,Naivete
85514491,"Person1: I've just met with the bishop. We're taking you off the case.
Person2: You're what?
Person1: If we want to hire a psychiatrist for Agnes. we'll find our own, thank you.
Person2: One that will ask the questions you want asked.
Person1: One that will approach this matter with some objectivity and respect.
Person2: For the Church?
Person1: For Agnes.
Person2: You think she's a saint?
Person1: She's been touched by God, yes.
Person2: How?  How?  She hallucinates, stops eating and bleeds spontaneously. Is that supposed to convince me she shouldn't be touched. Give me a miracle.
Person1: The father!
Person2: Who is he?
Person1: Why must he be anybody?
Person2: My God, you're as crazy as...
Person1: Stop laughing, I don't say it's the truth, I'm saying...
Person2: How  ?
Person1: Don't be ridiculous.
Person2: Well give me a reasonable explanation
Person1: A miracle is an event without an explanation. If she's capable of putting a hole in her hand without benefit of a nail, why couldn't she split a cell in her womb?
Person2: This is insane.
Person1: There as no man in the convent on that night and no way for any man to get in or out.
Person2: You're saying God did it?",1,Rationalization,"Naivete,Over-intellectualization"
85514492,"Person1: And I love you too.
Person2: And love's a funny thing.  Sometimes I don't know if I want to love you...",1,Evasion,Dependency
85514493,"Person1: What the hell did you think you were doing?
Person2: You have a real gratitude problem. You know that, Bruce? I need a name. Batboy? The Dark Earl? What's a good side kick name?
Person1: How about Richard Grayson, college student?
Person2: ...I missed Two-Face by a heartbeat. When we catch him, you gotta let me kill him!
Person1: We don't kill. Killing is what damns you. It-. What am I talking about? This conversation is over. You're going away to school.
Person2: I saved your life. You owe me. So either you let me be your partner or I'm going after Harvey on my own.",1,Intimidation,Dependency
