Dialogue,Hate Speech
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: They dumped Carter because he couldn't resolve the hostage crisis and inflation was out of control...after he was in office four years. Now why are they going to dump Hillary?",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: His overlords haven't told him that one yet.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: See what I mean? No answer, just repetition of the original statement.",0
"Person1: Think for yourself for once.
Person2: nope a VOTE for hilary is what your only answer would be",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: No, any answer to the question would be a fine answer.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: nope because the Dems rejected Carter and will do the same to Hilary. they want no more four years of Monica Lewinski",1
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Monica Lewinski lol.",1
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: why not? she is why Hilary matters",0
"Person1: If Trump ever endorses violence against liberals, I will comply with his wishes, gladly.
Person2: Cons can't distinguish morality from the rantings of a barbaric ancient middle eastern desert tribe.",1
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: and liberals use that same book and blast Christians day and night falsely",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: I wish he'd publish his book already and stop spamming here.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: and the left wants homeschooling banned. :)",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: Not me.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: He's just spouting off the nonsense he hears on TV. He's not capable of critical thought.",0
"Person1: Think for yourself for once.
Person2: Or it was conservative talk radio. A caller into Han nity says it and Han nity says ""Oh you're right. You're right."" And then they run around to friends and family wringing their hands as the repeat it as fact.",0
"Person1: Transgender people have existed since the beginning of time. Some have just always kept the fact that they felt they were the wrong gender a secret and suffered in silence. Others actually lived as the other gender often after moving to a new location. Obviously they used the bathroom of the gender they were living as and no one knew, because unlike Christian Conservatives they didn't go into bathrooms or dressing areas flailing their gen italia around. But now that it's 2016, all of a sudden it's a problem. Why? Politics. And the awareness that these people exist.
Person2: Given small handful of names that appear in Wayne's tweets, it's definitely FOX.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: I know SB (sharon) does",0
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: I would like to see the quote.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: Don't hold your breath.",0
"Person1: Think for yourself for once.
Person2: just replied to me below. Read it if you dare. It's so sad.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: I don't bother reading his posts. Everything coming from a creationist is nonsense.",1
"Person1: but CHRISTIANS are the only reason why you care about gays or tgs you want them in all of our churches . of have us pay a huge fine right? that is your equal rights
Person2: I wonder which of your favorite talking heads just said that on TV.",0
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: Seriously, your denial of transgenderism as a ""real thing"" is quite dangerous as is the condemnation of anyone who is struggli g with identity issues because they are born that way or develop differently due to hormones and biology.",0
"Person1: Seriously, your denial of transgenderism as a ""real thing"" is quite dangerous as is the condemnation of anyone who is struggli g with identity issues because they are born that way or develop differently due to hormones and biology.
Person2: Transgenderism is just that, an ""ism"", meaning it is a condition of mind not based on reality. So when I say ""real thing"" I'm referring to the reality that such a person is confused because they think in their minds they are something which they are not in reality. Condemnation of such confused people isn't appropriate though either, precisely because they are confused and their inner motivations which bring on that confusion are something they don't understand themselves.",1
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: ""Trangenderism"" is real. Does it mean someone's gender has actually changed? No, but that doesn't make it less real. You mention evil effects. What are they? Be specific, not just something like it's evil or wrong.",0
"Person1: I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?
Person2: To call some confusion of mind ""real"" distorts the discussion, as I tried to make clear that the confusion phenomena is real, i.e. that the person is really confused. So what is real is in opposition to what the confused person believes is real. When I refer to ""evil"" effects, I'm not using the term generically very often but to indicate a moral form of something that is inherently evil. However, I suspect you are looking for the human consequences that are harmful to the subject (victim) and to families and civil society. Is that the case?",1
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: Either way. Yes, how does it harm the individual and society? And, generically, what makes it inherently evil?",0
"Person1: I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?
Person2: The harm to the person who is confused about their own sexuality should be obvious, but sadly political correctness has suppressed much of the truth about it. On the face of it, it's inherently harmful for a person to be confused about anything where reality is involved, because the confusion causes them to react to reality erroneously, making decisions that are, at least, not in their best interest and that are, at worst, very harmful to their lives and wellbeing.",0
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: How will you go about ""curing"" them? They have tried many different kinds of therapy with them. The only best solution for now is to help them transition. Forcing them to be ""normal"" will have them end up in depression, various problems and possibly suicide.",0
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: Also they are not ""confused"" as they are well aware of their own bodies.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: There is a common misconception that one can somehow ""force"" a confused person out of their confusion. That seldom works, although there are some conditions where various forms of coercion may be effective...and may raise ethical concerns.Transgenderism, like all of the other sexual confusions and perversions, is inherently depressive to the individual, with other inner self harmful effects also...sometimes resulting in suicide. These are all very sad effects and consequences...and need core inner remedies not pandering, sheltering or accommodating. These confusions and perversions are inherently mental, not sourced in the physical nature itself...speaking generally and referring to the great majority of cases. The problem with most of psychology is that it categorizes ""mental"" as physical, of the brain, instead of the ""mind"". That's why secular psychology has no answers for these conditions, as permanent correction of the core cause. However, well versed psychologists and counselors who understand the mind as being part of the core spirit nature of the human being, human person, treat the person very differently, with an understanding of volition which dynamically changes the process of treatment and dynamically results in core therapy and lasting benefit, true healing of the person to live normally as they truly are in harmony with their physical self.",1
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: Again you have not given any viable solution. The ""spiritual counseling"" have been done many times before. The depression comes from the fact that people like you will not accept them as who they are and instead want to force them to conform to what is your idea of reality.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: The depression doesn't come from outside for these persons, but from their inner confusion about their own nature and value. It can be accentuated by outside influence that is demeaning, of course. But the depression source is internal to the person themselves, and is alleviated when they come to understand some core concepts about their nature as human persons as well as their physical nature. I suppose that what you conceive as ""spiritual counselling"" is simplistic recitation of Scripture and platitudes, along with sessions of prayer, etc. What I'm actually referring to is very deep counseling, working inward from the objective self-concepts of the person as God's created being of immense worth and value, to both God and the rest of humanity. But the subject does not easily acclimate to these concepts when they are so confused. It takes a great deal of patience and explanation on various levels of understanding that fit the subject's own initial perceptions and beliefs, helping them to understand where they are in error in their concepts and understanding...and why their understanding is erroneous. Essential in this process is the understanding imparted to the subject that they can choose to believe differently, and choose to redirect their own thinking patterns, actually modifying their brain structure over time. The resulting symbiosis between purposed thought and changes in the brain result in true long lasting, permanent, healing.",1
"Person1: The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both.
Person2: Seems like general statements again. What is so obviously wrong or evil about it. What actual harm is being caused by their choices?",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: No one?",0
"Person1: I agree that people should use the public bathroom that fits their actual gender, but what harm to society is caused by someone being transgender?
Person2: No one as in nobody is answering or no one as in nobody is going to be last in heaven despite what Jesus said?",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: No one, as in my guess is no one.",0
"Person1: Freedomscout thinks the public schools are like Pink Floyd's The Wall.
Person2: I will be last if you just need someone to close up shop. Does room service exist in Heavan? I hope it is a fun place and not just a bunch of religious nuts praying and such.",0
